,index,id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,roofstyle,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,wooddecksf,mosold,yrsold,saleprice,porchpres,poolpres,garagepres,fireplacepres,masvnrpres,bsmtpres,shedpres,exterior,age_sold,remodelled,2ndfloorpres,bighouse
0,0,109,4.110873864173311,RL,70.0,9.511777409660299,0.6931471805599453,Lvl,CulDSac,flat,Sawyer,RRAe,1Fam,2Story,6,2.1972245773362196,3904576,Gable,BrkFace,5.66988092298052,1.6094379124341003,CBlock,9,0.6931471805599453,GLQ,6.280395838960195,192.0,25,7.299797366758161,0.0,2,0.6931471805599453,3,0.6931471805599453,1.6094379124341003,Typ,0.0,0,Attchd,RFn,475.0,TA,0.0,3,2010,11.779136168550774,1,0,1,0,1,1,0,Wood,34.0,1.0,1,0.0
1,1,544,4.110873864173311,RL,43.0,9.349493433368758,0.6931471805599453,Lvl,CulDSac,flat,SawyerW,Norm,1Fam,2Story,7,1.791759469228055,3984016,Gable,BrkFace,4.890349128221754,1.6094379124341003,PConc,16,0.6931471805599453,GLQ,6.45833828334479,276.0,25,7.660585461703256,0.6931471805599453,2,0.6931471805599453,4,0.6931471805599453,1.6094379124341003,Typ,0.6931471805599453,3,Attchd,RFn,559.0,TA,0.0,4,2009,12.301387370778713,1,0,1,1,1,1,0,Vinyl,13.0,1.0,1,0.0
2,2,153,3.044522437723423,RL,68.0,8.977525200965243,0.0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,2.0794415416798357,3814209,Gable,None,0.0,1.3862943611198906,CBlock,9,0.6931471805599453,GLQ,6.595780513961311,326.0,9,6.964135612418245,0.6931471805599453,1,0.0,3,0.6931471805599453,1.6094379124341003,Typ,0.0,0,Detchd,Unf,246.0,TA,0.0,1,2010,11.599112335481124,1,0,1,0,0,1,0,Vinyl,57.0,1.0,0,0.0
3,3,318,4.110873864173311,RL,73.0,9.190443740261726,0.0,Lvl,Inside,flat,Timber,Norm,1Fam,2Story,5,1.791759469228055,4024036,Gable,None,0.0,1.3862943611198906,PConc,16,0.6931471805599453,Unf,0.0,384.0,16,7.275864600546533,0.0,2,0.6931471805599453,3,0.6931471805599453,1.3862943611198906,Typ,0.0,0,BuiltIn,Fin,400.0,TA,4.61512051684126,4,2010,12.066816325306588,0,0,1,0,0,1,0,Vinyl,4.0,1.0,1,0.0
4,4,255,3.9318256327243257,RL,82.0,9.563529246630083,0.6931471805599453,Lvl,Inside,flat,SawyerW,Norm,1Fam,1.5Fin,6,2.1972245773362196,3610000,Gable,None,0.0,1.3862943611198906,PConc,4,0.6931471805599453,Unf,0.0,676.0,9,7.27655640271871,0.0,2,0.0,3,0.6931471805599453,1.3862943611198906,Typ,0.0,0,Detchd,Unf,484.0,TA,0.0,3,2010,11.83863282480007,1,0,1,0,0,1,0,Wood,110.0,1.0,1,0.0
5,5,138,3.044522437723423,RL,137.0,9.710691327448153,0.6931471805599453,Lvl,Corner,flat,NAmes,PosA,1Fam,1Story,6,1.9459101490553132,3865156,Gable,None,0.0,1.6094379124341003,CBlock,9,0.6931471805599453,ALQ,5.5134287461649825,557.0,25,7.543802867501509,0.0,2,0.6931471805599453,2,0.6931471805599453,1.6094379124341003,Mod,0.6931471805599453,4,Attchd,Fin,578.0,TA,0.0,6,2010,12.154784614286667,0,0,1,1,0,1,0,Brick,44.0,1.0,0,0.0
6,6,2827,5.198497031265826,RM,35.0,8.209580483475577,0.0,Lvl,Inside,flat,Edwards,Norm,TwnhsE,SFoyer,6,1.791759469228055,4020025,Gable,BrkFace,4.418840607796598,1.3862943611198906,PConc,16,1.6094379124341003,GLQ,6.306275286948016,0.0,16,6.9782137426306985,0.6931471805599453,2,0.0,2,0.6931471805599453,1.3862943611198906,Typ,0.0,0,Basment,Fin,525.0,TA,0.0,6,2006,11.849404844423074,1,0,1,0,1,1,0,Vinyl,1.0,1.0,0,0.0
7,7,145,3.044522437723423,RL,72.0,9.405989388981,0.6931471805599453,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,1.791759469228055,3837681,Hip,BrkFace,5.198497031265826,1.3862943611198906,CBlock,9,0.6931471805599453,Rec,6.90875477931522,188.0,4,7.080867896690782,0.6931471805599453,1,0.0,3,0.6931471805599453,1.3862943611198906,Typ,0.0,0,Attchd,RFn,531.0,TA,0.0,5,2010,11.863589378812122,0,0,1,0,1,1,0,Wood,51.0,0.0,0,0.0
8,8,1942,3.044522437723423,RL,60.0,9.66675204770245,0.0,Lvl,Inside,flat,OldTown,Artery,1Fam,1Story,5,1.791759469228055,3810304,Gable,None,0.0,1.3862943611198906,CBlock,9,0.6931471805599453,Rec,5.680172609017068,632.0,9,6.829793737512425,0.0,1,0.0,2,0.6931471805599453,1.3862943611198906,Typ,0.0,0,Detchd,Unf,420.0,TA,0.0,6,2007,11.630717389475995,1,0,1,0,0,1,1,Wood,55.0,0.0,0,0.0
9,9,1956,4.110873864173311,RL,70.0,9.359363643368622,0.6931471805599453,HLS,Inside,sloped,NAmes,Norm,1Fam,2Story,5,1.791759469228055,3876961,Gable,BrkFace,5.262690188904886,1.3862943611198906,PConc,16,1.3862943611198906,Rec,6.478509642208569,390.0,9,7.640603826393634,0.0,1,1.0986122886681098,5,0.6931471805599453,1.0986122886681098,Typ,1.0986122886681098,3,Attchd,Unf,504.0,TA,5.817111159963204,9,2007,11.813037464800539,0,0,1,1,1,1,0,Wood,38.0,0.0,1,0.0
10,10,1044,5.081404364984463,RM,21.0,7.427144133408616,0.0,Lvl,Inside,flat,BrDale,Norm,Twnhs,2Story,6,1.791759469228055,3884841,Gable,BrkFace,5.4510384535657,1.3862943611198906,CBlock,9,0.6931471805599453,ALQ,5.961005339623274,96.0,9,6.895682697747868,0.0,1,0.6931471805599453,2,0.6931471805599453,1.3862943611198906,Typ,0.0,0,Detchd,Unf,264.0,TA,0.0,7,2008,11.355113089309977,0,0,1,0,1,1,0,Wood,37.0,0.0,1,0.0
11,11,2752,3.044522437723423,RL,64.0,8.921190556249368,0.6931471805599453,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,7,1.791759469228055,4020025,Gable,None,0.0,1.6094379124341003,PConc,16,1.3862943611198906,GLQ,5.976350909297934,815.0,25,7.097548850614793,0.0,2,0.0,2,0.6931471805599453,1.6094379124341003,Typ,0.0,0,Attchd,RFn,632.0,TA,4.663439094112067,2,2006,12.120520203776788,1,0,1,0,0,1,0,Vinyl,1.0,0.0,0,0.0
12,12,807,4.2626798770413155,RL,120.0,10.181157167204903,0.0,Bnk,FR2,flat,SawyerW,Feedr,1Fam,2Story,5,2.0794415416798357,3534400,Gable,None,0.0,1.6094379124341003,PConc,0,0.0,None,0.0,0.0,25,7.6093665379542115,0.0,1,0.0,4,0.6931471805599453,1.3862943611198906,Mod,0.6931471805599453,3,Attchd,Unf,576.0,TA,0.0,6,2009,11.782960235741939,0,0,1,1,0,0,0,Wood,129.0,1.0,1,0.0
